id,name,population
DZA,Algeria,1
ARG,Argentina,3
AUS,Australia,5
AUT,Austria,15
AZE,Azerbaijan,1
BLR,Belarus,3
BEL,Belgium,8
BIH,Bosnia and Herzegovina,2
BRA,Brazil,1
BGR,Bulgaria,1
CAN,Canada,10
CHL,Chile,2
CHN,China,1
COL,Colombia,1
HRV,Croatia,1
CZE,Czech Republic,5
DNK,Denmark,11
EGY,Egypt,3
FIN,Finland,3
FRA,France,45
DEU,Germany,62
GRC,Greece,1
GLP,Guadeloupe Island,1
GTM,Guatemala,1
HUN,Hungary,8
ISL,Iceland,1
IND,India,5
IDN,Indonesia,1
IRQ,Iran,1
IRL,Ireland,4
ISR,Israel,1
ITA,Italy,17
JPN,Japan,7
KEN,Kenya,1
LVA,Latvia,1
LTU,Lithuania,1
MDG,Madagascar,1
MEX,Mexico,2
NLD,Netherlands,14
NZL,New Zealand,3
IRL,Northern Ireland,1
NOR,Norway,8
PAK,Pakistan,3
POL,Poland,26
PRT,Portugal,3
ROU,Romania,2
RUS,Russia,25
LCA,Saint Lucia,1
SVN,Slovenia,1
ZAF,South Africa,4
KOR,South Korea,1
ESP,Spain,7
SWE,Sweden,25
CHE,Switzerland,11
TUR,Turkey,2
UKR,Ukraine,3
GBR,United Kingdom,74
USA,United States of America,150
VEN,Venezuela,1
VNM,Vietnam,1
ZWE,Zimbabwe,1
